operadora,producto,marca,precio_prepago,precio_portabilidad/renovacion,precio_normal,precio_linea_nueva,cuota_arriendo,sku,fecha_extraccion
WOM,Redmi Note 12 Pro 5G Black,Xiaomi,228000,204000,459990.0,204000,16000.0,001.002.2376,2026-05-13
WOM,Redmi Note 12 Pro 5G Blue,Xiaomi,228000,204000,459990.0,204000,23000.0,001.002.2377,2026-05-13
WOM,Redmi Note 12 Pro 5G White,Xiaomi,228000,204000,459990.0,204000,23000.0,001.002.2545,2026-05-13
WOM,Apple iPhone Air 5G 512GB Space Black,Apple,1480800,1360800,1559990.0,1360800,51300.0,001.002.2885,2026-05-13
WOM,ZTE Blade A56 Pro 4G 128GB Grey,ZTE,115200,103200,149990.0,103200,7500.0,001.002.2822,2026-05-13
WOM,Samsung Galaxy A56 5G 128GB Black,Samsung,340800,304800,499990.0,304800,18900.0,001.002.2793,2026-05-13
WOM,Samsung Galaxy S25 FE 5G 128GB Dark Blue,Samsung,619200,499200,799990.0,499200,32750.0,001.002.2848,2026-05-13
WOM,Samsung Galaxy S25 FE 5G 128GB Jet Black,Samsung,619200,499200,799990.0,499200,32750.0,001.002.2964,2026-05-13
WOM,Samsung Galaxy A17 5G 128GB Black,Samsung,182400,158400,229990.0,158400,10600.0,001.002.2845,2026-05-13
WOM,Samsung Galaxy Z Flip7 5G 256GB Jetblack,Samsung,964800,844800,1399990.0,844800,35400.0,001.002.2847,2026-05-13
WOM,Samsung Galaxy Z Flip7 FE 5G 128GB Black,Samsung,818400,698400,1099990.0,698400,31000.0,001.002.2846,2026-05-13
WOM,Xiaomi 15 5G 512GB Black,Xiaomi,624000,600000,999990.0,600000,32800.0,001.002.2773,2026-05-13
WOM,Motorola Edge 40 Neo 5G 256GB Caneel Bay,Motorola,130000,130000,329990.0,130000,13000.0,001.002.2471,2026-05-13
WOM,Motorola Edge 40 Neo 5G 256GB Soothing Sea,Motorola,130000,130000,329990.0,130000,13000.0,001.002.2470,2026-05-13
WOM,Motorola Edge 40 Neo 5G 256GB Black Beauty,Motorola,130000,130000,329990.0,130000,13000.0,001.002.2469,2026-05-13
WOM,Xiaomi 14T 5G 512GB Gray,Xiaomi,356000,320000,599990.0,356000,11500.0,001.002.2666,2026-05-13
WOM,Xiaomi 14T 5G 512GB Black,Xiaomi,356000,320000,599990.0,356000,11500.0,001.002.2667,2026-05-13
WOM,Motorola Edge 50 Fusion 5G 256GB Blue,Motorola,224000,200000,329990.0,200000,14600.0,001.002.2622,2026-05-13
WOM,Motorola Edge 50 Fusion 5G 256GB Pink,Motorola,224000,200000,329990.0,200000,14600.0,001.002.2623,2026-05-13
WOM,Motorola Edge 50 Fusion 5G 256GB Tidal Teal,Motorola,224000,200000,329990.0,200000,14600.0,001.002.2624,2026-05-13
WOM,Apple iPhone 16e 5G 128GB Negro,Apple,676800,556800,699990.0,556800,27100.0,001.002.2767,2026-05-13
WOM,Apple iPhone 16e 5G 128GB Blanco,Apple,676800,556800,699990.0,556800,27100.0,001.002.2768,2026-05-13
WOM,Redmi Note 14 Pro Plus 5G 256GB Black,Xiaomi,314400,285600,529990.0,285600,20600.0,001.002.2752,2026-05-13
WOM,Redmi Note 14 Pro Plus 5G 256GB Blue,Xiaomi,314400,285600,529990.0,285600,20600.0,001.002.2753,2026-05-13
WOM,Apple iPhone Air 5G 256GB Space Black,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2881,2026-05-13
WOM,Apple iPhone Air 5G 256GB Cloud White,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2882,2026-05-13
WOM,Apple iPhone Air 5G 256GB Light Gold,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2883,2026-05-13
WOM,Apple iPhone Air 5G 256GB Sky Blue,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2884,2026-05-13
WOM,Honor X5c 4G 128GB Black,Honor,110400,98400,,98400,,001.002.2912,2026-05-13
